,"('num_occur', 'index', 0)","('num_occur', 'score', 0)","('num_occur', 'index', 1)","('num_occur', 'score', 1)","('num_occur', 'index', 2)","('num_occur', 'score', 2)","('num_occur', 'index', 3)","('num_occur', 'score', 3)","('num_occur', 'index', 4)","('num_occur', 'score', 4)","('percentage_of_terms', 'index', 0)","('percentage_of_terms', 'score', 0)","('percentage_of_terms', 'index', 1)","('percentage_of_terms', 'score', 1)","('percentage_of_terms', 'index', 2)","('percentage_of_terms', 'score', 2)","('percentage_of_terms', 'index', 3)","('percentage_of_terms', 'score', 3)","('percentage_of_terms', 'index', 4)","('percentage_of_terms', 'score', 4)","('td-idf', 'index', 0)","('td-idf', 'score', 0)","('td-idf', 'index', 1)","('td-idf', 'score', 1)","('td-idf', 'index', 2)","('td-idf', 'score', 2)","('td-idf', 'index', 3)","('td-idf', 'score', 3)","('td-idf', 'index', 4)","('td-idf', 'score', 4)","('word_order', 'index', 0)","('word_order', 'score', 0)","('word_order', 'index', 1)","('word_order', 'score', 1)","('word_order', 'index', 2)","('word_order', 'score', 2)",truth,"('word_order', 'index', 3)","('word_order', 'score', 3)","('word_order', 'index', 4)","('word_order', 'score', 4)"
0,728,15,984,13,700,12,802,8,96,8,29,1.0,48,1.0,84,0.6,98,0.6,296,0.6,494,0.3808351739278394,26,0.3650154556388577,450,0.3143188645779052,451,0.3143188645779052,82,0.2971351357019406,29,5,296.0,4.0,48.0,4.0,29,98.0,1.0,432.0,1.0
0,700,12,96,8,494,7,387,6,525,6,30,1.0,758,0.6,47,0.4,342,0.4,387,0.4,126,0.5819934103677666,494,0.3808351739278394,465,0.3649274199521577,709,0.3649274199521577,30,0.331752199956507,30,5,758.0,2.0,387.0,0.0,30,525.0,0.0,47.0,0.0
0,46,6,31,5,990,5,585,3,963,3,31,1.0,46,0.6,724,0.4,11,0.2,36,0.2,126,0.4788745062879375,339,0.2755787543297577,31,0.17640967491224865,228,0.10314220135432502,990,0.09801524982501644,46,7,31.0,7.0,724.0,0.0,31,,,,
0,689,9,767,8,322,7,733,6,663,5,32,1.0,285,0.8,0,0.6,33,0.6,284,0.6,327,0.16425806939447102,117,0.10544962479645052,44,0.10293660831287128,733,0.09184322159690851,250,0.08539926022993767,32,6,284.0,1.0,33.0,1.0,32,711.0,1.0,0.0,0.0
0,742,5,250,4,273,4,784,4,33,3,33,1.0,285,0.8,32,0.6,284,0.6,0,0.4,870,0.10524780604934157,44,0.10293660831287128,768,0.10280284333983568,250,0.08539926022993767,457,0.08118943754254637,33,4,768.0,1.0,284.0,1.0,33,32.0,1.0,0.0,0.0
0,742,14,33,13,621,12,34,11,183,11,724,1.2,34,1.0,311,0.6,6,0.6,123,0.6,289,0.23917729824739653,507,0.19760547371035947,214,0.1879250200515258,426,0.1879250200515258,424,0.1877252000248415,34,5,0.0,0.0,384.0,0.0,34,2.0,0.0,387.0,0.0
0,322,19,166,18,779,18,963,18,985,18,35,1.0,41,0.8,701,0.8,15,0.4,283,0.4,35,0.5805815200221353,135,0.47093816179772463,221,0.17350353329389856,334,0.17350353329389856,15,0.17330791642451798,35,8,41.0,4.0,701.0,1.0,35,901.0,0.0,774.0,0.0
0,183,11,596,5,210,3,271,3,290,3,36,1.0,431,0.6,195,0.4,215,0.4,262,0.4,675,0.5095658223243495,135,0.4367707048494425,223,0.3397105482162331,449,0.3397105482162331,266,0.3057394933946098,36,5,424.0,2.0,195.0,0.0,36,262.0,0.0,711.0,0.0
0,408,5,718,4,99,4,233,4,398,4,37,0.8,46,0.4,305,0.4,701,0.4,315,0.4,565,0.41174643325148513,223,0.3548821488420188,94,0.26202045752367237,233,0.26202045752367237,37,0.23785534303892997,37,4,718.0,1.0,315.0,1.0,37,46.0,0.0,305.0,0.0
0,702,7,728,7,418,6,382,5,14,4,38,1.0,27,0.6,42,0.6,332,0.6,761,0.6,418,0.3121016012273569,820,0.286029330198772,832,0.286029330198772,917,0.27287557864936285,202,0.15048285587281038,38,4,40.0,1.0,0.0,0.0,38,32.0,0.0,322.0,0.0
0,310,7,912,5,920,5,231,4,434,4,39,1.0,285,0.4,299,0.4,53,0.2,134,0.2,899,0.4750096529455523,920,0.4118629878853477,657,0.23750482647277615,53,0.22330058462389818,128,0.2159134786116147,39,6,299.0,0.0,285.0,0.0,39,,,,
0,253,8,444,7,721,5,736,4,569,3,40,1.0,123,0.2,223,0.2,253,0.2,435,0.2,223,0.5682589478261134,253,0.30762890408631705,435,0.2378758386248847,720,0.23628400704672192,721,0.2028701070603168,40,9,,,,,40,,,,
0,196,7,746,6,924,6,963,6,462,5,41,1.0,35,0.6,31,0.4,46,0.4,182,0.4,35,0.42679839186332214,515,0.2032373294587248,657,0.1857835171222979,94,0.16889410647481629,352,0.16889410647481629,41,8,35.0,2.0,787.0,1.0,41,999.0,0.0,46.0,0.0
0,14,13,728,10,0,9,282,8,691,8,27,1.0,42,1.0,689,0.6,702,0.6,767,0.6,684,0.29388161853201494,490,0.26449345667881347,709,0.26449345667881347,157,0.22041121389901122,282,0.17781072717903426,27,4,42.0,4.0,984.0,1.0,42,384.0,0.0,273.0,0.0
0,14,13,282,8,118,6,374,6,798,6,285,1.2,713,1.2,43,1.0,691,0.8,9,0.6,684,0.6899578396567947,709,0.3816258383443767,685,0.3469325803130697,687,0.3012835565876658,490,0.26449345667881347,43,5,684.0,4.0,691.0,4.0,43,317.0,3.0,755.0,3.0
0,111,14,742,13,717,12,502,12,690,12,44,1.0,52,0.6,195,0.6,385,0.6,711,0.6,620,0.38799853805756557,875,0.38799853805756557,659,0.2525603652120105,526,0.23014777230542577,832,0.23014777230542577,44,5,903.0,2.0,722.0,2.0,44,323.0,1.0,717.0,1.0
0,184,7,323,7,14,7,433,6,253,5,45,1.0,67,0.8,759,0.8,799,0.8,824,0.8,212,0.3769663650075851,424,0.34109447331170356,82,0.2623803640859258,641,0.23197930154312932,465,0.1995026866537475,45,5,323.0,4.0,759.0,4.0,45,17.0,3.0,286.0,3.0
0,31,5,339,3,46,2,220,2,273,2,46,1.0,31,0.4,211,0.2,230,0.2,339,0.2,339,0.2755787543297577,31,0.17640967491224865,992,0.13261621553669262,804,0.0834990986712509,692,0.08051698800442052,46,9,31.0,4.0,,,46,,,,
0,700,12,96,8,279,7,494,7,296,6,47,1.0,285,0.4,337,0.4,706,0.4,713,0.4,494,0.3808351739278394,30,0.3511597058295662,82,0.2971351357019406,525,0.2897067573093921,96,0.2452543977222367,47,4,706.0,0.0,713.0,0.0,47,337.0,0.0,285.0,0.0
0,728,15,984,13,700,12,802,8,96,8,48,1.0,464,0.6,758,0.6,29,0.6,84,0.6,494,0.3808351739278394,832,0.36516619270857026,26,0.3650154556388577,30,0.3511597058295662,450,0.3143188645779052,48,4,296.0,3.0,29.0,1.0,48,84.0,1.0,30.0,0.0
0,469,6,134,4,170,4,269,4,448,4,49,1.0,111,0.4,379,0.4,660,0.4,50,0.4,126,0.3700191201429417,586,0.2590133841000592,594,0.2590133841000592,595,0.2590133841000592,463,0.1438963245000329,49,5,544.0,0.0,640.0,0.0,49,923.0,0.0,584.0,0.0
0,742,7,813,6,444,5,747,5,621,4,50,1.0,138,0.6,764,0.6,990,0.6,195,0.6,820,0.25424704489257965,813,0.23503594930409194,309,0.21338790134187294,843,0.15669063286939464,239,0.1525482269355478,50,7,387.0,1.0,4.0,1.0,50,195.0,1.0,747.0,1.0
0,123,21,717,9,742,9,871,9,963,6,51,1.0,184,0.8,963,0.8,49,0.6,224,0.6,837,0.34454514599779273,982,0.3081232977941087,180,0.30183506722688197,520,0.2957983658823443,274,0.24166533160322248,51,5,408.0,1.0,671.0,1.0,51,298.0,1.0,49.0,1.0
